"14b597e8","2025-10-25T17:59:43.530989+00:00","LTCUSDT","Ranging V4.1","RSI Cross Down from Overbought (56.6)","short","True","BTC STRONG_UP -> allow","35","62.0","REJECTED","Низкая уверенность AI: 35% < 62.0%","None","None","None"
"91ad6047","2025-10-25T17:59:42.723260+00:00","FETUSDT","Trending_AI_Filtered","Pullback to EMA20","long","None","None","None","None","REJECTED","Исполнение сделки не удалось","None","None","None"
"b1ae5715","2025-10-25T17:59:43.094598+00:00","DOGEUSDT","Trending_AI_Filtered","Pullback to EMA20","short","None","None","None","None","REJECTED","BTC state=UP, p_up=0.92","None","None","None"
"82588e7c","2025-10-25T17:59:49.039573+00:00","ETHUSDT","Pullback Engine","EMA20 retest, RSI=48.2, OFI=-50.7, OBI=-0.54","short","None","None","None","None","REJECTED","BTC state=UP, p_up=0.97","None","None","None"
"276bbec0","2025-10-25T17:59:49.041574+00:00","DOGEUSDT","Pullback Engine","EMA20 retest, RSI=48.0, OFI=-28.1, OBI=-0.16","short","None","None","None","None","REJECTED","BTC state=UP, p_up=0.99","None","None","None"
"9fcadeab","2025-10-25T17:59:49.049582+00:00","FILUSDT","Pullback Engine","EMA20 retest, RSI=53.6, OFI=10.7, OBI=0.23","long","None","None","None","None","REJECTED","AI BTC filter: AI Заблокировано: НЕТ, БЛОКИРУЮ. На графике BTC наблюдается сильный медвежий импульс с пробоем ключевых скользящих средних вниз. Это подтверждается аномально высоким объемом продаж на последнем снижении. Структура рынка на данном таймфрейме сломлена и стала нисходящей. Открытие LONG позиций по альтам в такой фазе рынка BTC является крайне рискованным и равносильно попытке поймать 'падающий нож'. (conf: 10%)","None","None","None"
"daa113af","2025-10-25T17:59:49.051584+00:00","BNBUSDT","Pullback Engine","EMA20 retest, RSI=48.6, OFI=-48.7, OBI=-0.34","short","None","None","None","None","REJECTED","BTC state=UP, p_up=1.00","None","None","None"
"6f9b5b0f","2025-10-25T17:59:49.055588+00:00","APEUSDT","Pullback Engine","EMA20 retest, RSI=48.0, OFI=-16.0, OBI=-0.12","short","None","None","None","None","REJECTED","BTC state=UP, p_up=1.00","None","None","None"
"1eb8d513","2025-10-25T18:05:08.907434+00:00","APEUSDT","Ranging V4.1","RSI Cross Down from Overbought (52.2)","short","True","BTC STRONG_UP -> allow","35","62.0","REJECTED","Низкая уверенность AI: 35% < 62.0%","None","None","None"
"6e169aa8","2025-10-25T18:05:04.523600+00:00","ANKRUSDT","Ranging V4.1","BB Low Touch or RSI Cross Up (43.7)","long","True","BTC STRONG_UP -> allow","45","62.0","REJECTED","Низкая уверенность AI: 45% < 62.0%","None","None","None"
"3a25b488","2025-10-25T18:05:05.792376+00:00","DOTUSDT","Trending_AI_Filtered","Pullback to EMA20","long","None","None","75","65.0","EXECUTED","None","3.061","3.04004","3.09196"
"a5d5c3bc","2025-10-25T18:05:07.718551+00:00","XLMUSDT","Trending_AI_Filtered","Pullback to EMA20","long","None","None","90","67.0","EXECUTED","None","0.32545","0.32317","0.33105"
"ff2c030a","2025-10-25T18:05:09.280794+00:00","ENAUSDT","Trending_AI_Filtered","Pullback to EMA20","short","None","None","None","None","REJECTED","BTC state=UP, p_up=0.97","None","None","None"
"13a4941f","2025-10-25T18:05:12.055261+00:00","DOTUSDT","Pullback Engine","EMA20 retest, RSI=52.3, OFI=14.0, OBI=0.01","long","None","None","None","None","REJECTED","Достигнут лимит позиций (2/4)","None","None","None"
"afe5fd85","2025-10-25T18:05:12.074279+00:00","TRXUSDT","Pullback Engine","EMA20 retest, RSI=47.9, OFI=-10.7, OBI=0.28","short","None","None","None","None","REJECTED","BTC state=UP, p_up=0.99","None","None","None"
"7081aad0","2025-10-25T18:05:12.074279+00:00","IMXUSDT","Pullback Engine","EMA20 retest, RSI=53.9, OFI=8.4, OBI=0.17","long","None","None","None","None","REJECTED","AI BTC filter: AI Заблокировано: БЛОКИРУЮ. На графике виден сильный медвежий импульс с локального максимума, подтвержденный всплеском объема продаж. Этот импульс сломал восходящую структуру, цена пробила обе скользящие средние вниз. Сейчас рынок находится в фазе неопределенности после резкого падения, что создает высокий риск дальнейшего снижения. Открытие LONG в текущих условиях является торговлей против сильного краткосрочного давления продавцов. (conf: 15%)","None","None","None"
"d6cc1d8c","2025-10-25T18:05:12.138338+00:00","HBARUSDT","Pullback Engine","EMA20 retest, RSI=55.7, OFI=70.5, OBI=0.41","long","None","None","None","None","REJECTED","AI BTC filter: AI Заблокировано: БЛОКИРУЮ. На графике виден резкий импульсивный разворот вниз на аномально высоком объеме. Цена пробила ключевые скользящие средние, которые теперь выступают в роли сопротивления. Восходящая структура сломлена. Входить в LONG в такой ситуации крайне рискованно, так как доминирует сильный продавец, и высока вероятность дальнейшего снижения. Текущая фаза рынка на BTC неблагоприятна для открытия длинных позиций по альтам. (conf: 15%)","None","None","None"
"302cad4b","2025-10-25T18:05:12.156353+00:00","FILUSDT","Pullback Engine","EMA20 retest, RSI=50.6, OFI=18.5, OBI=0.24","long","None","None","None","None","REJECTED","AI BTC filter: AI Заблокировано: БЛОКИРУЮ. На графике BTC наблюдается резкий слом восходящей структуры и сильный медвежий импульс. Цена пробила ключевые скользящие средние вниз на аномально высоком объеме продаж. Краткосрочный тренд сменился на нисходящий, что создает крайне неблагоприятную среду для открытия LONG позиций по альтам. Риск дальнейшего снижения BTC очень высок. (conf: 10%)","None","None","None"
"b657e55d","2025-10-25T18:14:56.641915+00:00","APEUSDT","Ranging V4.1","RSI Cross Down from Overbought (54.7)","short","True","BTC STRONG_UP -> allow","45","65.0","REJECTED","Низкая уверенность AI: 45% < 65.0%","None","None","None"
"8fff1c80","2025-10-25T18:15:14.094600+00:00","SOLUSDT","Ranging V4.1","RSI Cross Down from Overbought (59.0)","short","True","BTC STRONG_UP -> allow","35","65.0","REJECTED","Низкая уверенность AI: 35% < 65.0%","None","None","None"
"ab814547","2025-10-25T18:15:20.160693+00:00","ANKRUSDT","Ranging V4.1","BB Low Touch or RSI Cross Up (46.2)","long","True","BTC STRONG_UP -> allow","45","62.0","REJECTED","Низкая уверенность AI: 45% < 62.0%","None","None","None"
"03d21518","2025-10-25T18:14:58.947358+00:00","SUSHIUSDT","Trending_AI_Filtered","Pullback to EMA20","long","None","None","None","None","REJECTED","Gemini отклонил сделку (уверенность 35% < порога 65.0%)","None","None","None"
"4e45041a","2025-10-25T18:15:26.950176+00:00","ADAUSDT","Ranging V4.1","RSI Cross Down from Overbought (60.2)","short","True","BTC STRONG_UP -> allow","35","62.0","REJECTED","Низкая уверенность AI: 35% < 62.0%","None","None","None"
"0eb371cf","2025-10-25T18:15:53.085266+00:00","ENJUSDT","Ranging V4.1","RSI Cross Down from Overbought (61.6)","short","True","BTC STRONG_UP -> allow","35","65.0","REJECTED","Низкая уверенность AI: 35% < 65.0%","None","None","None"
"516504a8","2025-10-25T18:15:15.421036+00:00","FETUSDT","Trending_AI_Filtered","Pullback to EMA20","long","None","None","85","65.0","EXECUTED","None","0.2603","0.25686","0.26662"
"45c60539","2025-10-25T18:15:21.287513+00:00","TRXUSDT","Pullback Engine","EMA20 retest, RSI=47.6, OFI=-34.6, OBI=-0.33","short","None","None","None","None","REJECTED","BTC state=UP, p_up=1.00","None","None","None"
"74b9f943","2025-10-25T18:15:47.487927+00:00","IMXUSDT","Trending_AI_Filtered","Pullback to EMA20","long","None","None","85","67.0","EXECUTED","None","0.5375","0.52966","0.55277"
"3836afe0","2025-10-25T18:29:56.718800+00:00","APEUSDT","Ranging V4.1","RSI Cross Down from Overbought (58.2)","short","True","BTC STRONG_UP -> allow","35","65.0","REJECTED","Низкая уверенность AI: 35% < 65.0%","None","None","None"
"75c11012","2025-10-25T18:29:56.512891+00:00","SOLUSDT","Ranging V4.1","RSI Cross Down from Overbought (64.7)","short","True","BTC STRONG_UP -> allow","35","65.0","REJECTED","Низкая уверенность AI: 35% < 65.0%","None","None","None"
"e6ef9491","2025-10-25T18:30:03.849120+00:00","BCHUSDT","Pullback Engine","EMA20 retest, RSI=53.3, OFI=100.0, OBI=0.80","long","None","None","None","None","REJECTED","Достигнут лимит позиций (4/4)","None","None","None"
"55810534","2025-10-25T18:30:02.320862+00:00","LINKUSDT","Ranging V4.1","RSI Cross Down from Overbought (60.5)","short","True","BTC STRONG_UP -> allow","45","62.0","REJECTED","Низкая уверенность AI: 45% < 62.0%","None","None","None"
"60d0d691","2025-10-25T18:30:26.929658+00:00","ADAUSDT","Ranging V4.1","RSI Cross Down from Overbought (64.8)","short","True","BTC STRONG_UP -> allow","35","62.0","REJECTED","Низкая уверенность AI: 35% < 62.0%","None","None","None"
"a02dd6ab","2025-10-25T18:30:26.353196+00:00","APTUSDT","Ranging V4.1","RSI Cross Down from Overbought (56.8)","short","True","BTC STRONG_UP -> allow","45","62.0","REJECTED","Низкая уверенность AI: 45% < 62.0%","None","None","None"
"14d89683","2025-10-25T18:30:28.011944+00:00","ICPUSDT","Ranging V4.1","RSI Cross Down from Overbought (56.5)","short","True","BTC STRONG_UP -> allow","35","62.0","REJECTED","Низкая уверенность AI: 35% < 62.0%","None","None","None"
"01f3a956","2025-10-25T18:30:31.283446+00:00","DOGEUSDT","Ranging V4.1","RSI Cross Down from Overbought (56.6)","short","True","BTC STRONG_UP -> allow","35","65.0","REJECTED","Низкая уверенность AI: 35% < 65.0%","None","None","None"
"50f20475","2025-10-25T18:30:35.898106+00:00","LTCUSDT","Ranging V4.1","RSI Cross Down from Overbought (63.6)","short","True","BTC STRONG_UP -> allow","45","62.0","REJECTED","Низкая уверенность AI: 45% < 62.0%","None","None","None"
"59cf88eb","2025-10-25T18:30:42.080777+00:00","ANKRUSDT","Pullback Engine","EMA20 retest, RSI=52.1, OFI=0.4, OBI=0.25","long","None","None","None","None","REJECTED","Достигнут лимит позиций (4/4)","None","None","None"
"9862f58c","2025-10-25T18:30:38.932329+00:00","ARBUSDT","Ranging V4.1","RSI Cross Down from Overbought (59.9)","short","True","BTC STRONG_UP -> allow","45","62.0","REJECTED","Низкая уверенность AI: 45% < 62.0%","None","None","None"
"3a4ad939","2025-10-25T18:44:58.450917+00:00","DOGEUSDT","Ranging V4.1","RSI Cross Down from Overbought (61.8)","short","True","BTC STRONG_UP -> allow","35","65.0","REJECTED","Низкая уверенность AI: 35% < 65.0%","None","None","None"
"bfe0177f","2025-10-25T18:45:21.098459+00:00","ENAUSDT","Ranging V4.1","RSI Cross Down from Overbought (58.6)","short","True","BTC STRONG_UP -> allow","45","65.0","REJECTED","Низкая уверенность AI: 45% < 65.0%","None","None","None"
"9111118c","2025-10-25T18:45:23.239389+00:00","ICPUSDT","Ranging V4.1","RSI Cross Down from Overbought (61.1)","short","True","BTC STRONG_UP -> allow","45","62.0","REJECTED","Низкая уверенность AI: 45% < 62.0%","None","None","None"
"12ee308e","2025-10-25T18:45:23.419637+00:00","LINKUSDT","Ranging V4.1","RSI Cross Down from Overbought (65.2)","short","True","BTC STRONG_UP -> allow","45","62.0","REJECTED","Низкая уверенность AI: 45% < 62.0%","None","None","None"
"2d0025d3","2025-10-25T18:45:24.362095+00:00","ADAUSDT","Ranging V4.1","RSI Cross Down from Overbought (67.9)","short","True","BTC STRONG_UP -> allow","35","65.0","REJECTED","Низкая уверенность AI: 35% < 65.0%","None","None","None"
"74a91238","2025-10-25T18:45:27.246387+00:00","INJUSDT","Ranging V4.1","RSI Cross Down from Overbought (60.2)","short","True","BTC STRONG_UP -> allow","45","62.0","REJECTED","Низкая уверенность AI: 45% < 62.0%","None","None","None"
"696969cd","2025-10-25T18:45:29.259050+00:00","LTCUSDT","Ranging V4.1","RSI Cross Down from Overbought (66.8)","short","True","BTC STRONG_UP -> allow","35","62.0","REJECTED","Низкая уверенность AI: 35% < 62.0%","None","None","None"
"683e27d6","2025-10-25T18:45:30.970836+00:00","APTUSDT","Ranging V4.1","RSI Cross Down from Overbought (57.9)","short","True","BTC STRONG_UP -> allow","45","62.0","REJECTED","Низкая уверенность AI: 45% < 62.0%","None","None","None"
"65fb8445","2025-10-25T18:45:30.794716+00:00","ARBUSDT","Ranging V4.1","RSI Cross Down from Overbought (66.0)","short","True","BTC STRONG_UP -> allow","45","62.0","REJECTED","Низкая уверенность AI: 45% < 62.0%","None","None","None"
"183bd9b8","2025-10-25T18:45:33.697781+00:00","SUSHIUSDT","Ranging V4.1","RSI Cross Down from Overbought (62.6)","short","True","BTC STRONG_UP -> allow","45","65.0","REJECTED","Низкая уверенность AI: 45% < 65.0%","None","None","None"
"8c8f7175","2025-10-25T18:45:36.868549+00:00","SOLUSDT","Ranging V4.1","RSI Cross Down from Overbought (65.2)","short","True","BTC STRONG_UP -> allow","45","65.0","REJECTED","Низкая уверенность AI: 45% < 65.0%","None","None","None"
